Designator,Mid X,Mid Y,Rotation,Layer
C1,149.929686,-37.533442,90.0,top
C2,151.539686,-37.418442,270.0,top
C3,151.389688,-33.728443,90.0,top
C4,163.164687,-48.178442,180.0,top
C5,154.944686,-53.408442,180.0,top
C6,160.204686,-48.178442,0.0,top
C7,168.139685,-45.578442,90.0,top
C8,166.679686,-45.578442,90.0,top
D1,29.837994,-34.784126,98.0,bottom
D10,240.205641,-29.733626,82.0,bottom
D11,260.644641,-38.283526,82.0,bottom
D12,279.508524,-35.632529,82.0,bottom
D13,27.187157,-53.64842,98.0,bottom
D14,46.051395,-56.300026,98.0,bottom
D15,66.490195,-47.750326,98.0,bottom
D16,85.852096,-46.864525,98.0,bottom
D17,104.219695,-53.052824,98.0,bottom
D18,122.752622,-58.061693,98.0,bottom
D19,186.593761,-58.910222,82.0,bottom
D2,48.702673,-37.435141,98.0,bottom
D20,205.12776,-53.901023,82.0,bottom
D21,223.494762,-47.713024,82.0,bottom
D22,242.856761,-48.598022,82.0,bottom
D23,263.295759,-57.147922,82.0,bottom
D24,282.159642,-54.496924,82.0,bottom
D25,24.535758,-72.512919,98.0,bottom
D26,43.400295,-75.164625,98.0,bottom
D27,63.839094,-66.615126,98.0,bottom
D28,83.200978,-65.728923,98.0,bottom
D29,101.568694,-71.917624,98.0,bottom
D3,69.141597,-28.885826,98.0,bottom
D30,120.101695,-76.926725,98.0,bottom
D31,189.244937,-77.775027,82.0,bottom
D32,207.778934,-72.765825,82.0,bottom
D33,226.145936,-66.577828,82.0,bottom
D34,245.507936,-67.462826,82.0,bottom
D35,265.946936,-76.012726,82.0,bottom
D36,284.810816,-73.361731,82.0,bottom
D37,21.884296,-91.378027,98.0,bottom
D38,40.749177,-94.029024,98.0,bottom
D39,61.188054,-85.478839,98.0,bottom
D4,88.503072,-27.999542,98.0,bottom
D40,87.963706,-94.308092,90.0,bottom
D41,107.013707,-97.784694,90.0,bottom
D42,121.904844,-103.047294,90.0,bottom
D43,173.68808,-103.047295,90.0,bottom
D44,202.263205,-97.784694,90.0,bottom
D45,221.313207,-94.308095,90.0,bottom
D46,169.039688,-41.663442,180.0,top
D47,248.159642,-86.327826,82.0,bottom
D48,268.597761,-94.877223,82.0,bottom
D49,287.461524,-92.226332,82.0,bottom
D5,106.870695,-34.188325,98.0,bottom
D50,154.679999,-103.047295,90.0,bottom
D51,154.746093,-82.59922,90.0,bottom
D6,125.403696,-39.197626,98.0,bottom
D7,183.942642,-40.045827,82.0,bottom
D8,202.476641,-35.036626,82.0,bottom
D9,220.843641,-28.848626,82.0,bottom
DISPLAY1,141.121485,-22.812645,270.0,top
F1,42.709686,-20.263444,180.0,bottom
H1,40.576578,-42.835915,0.0,top
H10,178.42,-22.812644,0.0,top
H11,178.849262,-22.812644,0.0,bottom
H2,275.426705,-42.835915,0.0,top
H3,16.876564,-71.43593,0.0,top
H4,298.876734,-71.435924,0.0,top
H8,295.84,-19.9,0.0,bottom
H9,19.89,-19.71,0.0,top
J2,33.541487,-17.022647,180.0,bottom
J3,135.879686,-18.88344,180.0,top
J4,148.022889,-61.013441,180.0,top
L1,157.999687,-47.42844,90.0,top
LED1,144.954688,-34.473442,180.0,top
Q1,169.009686,-39.003444,270.0,top
R1,31.791485,-23.773444,90.0,bottom
R2,35.291485,-23.773442,270.0,bottom
R3,148.114688,-34.473442,0.0,top
R4,160.999686,-36.208442,270.0,top
R5,166.329688,-39.078442,90.0,top
R6,40.745,-16.33,180.0,bottom
SW1,168.999686,-34.743443,180.0,top
SW2,150.837889,-47.963442,90.0,top
SW3,67.98834327795612,-90.4517024324944,114.0,top
SW4,157.838589,-79.322993,0.0,top
SW5,247.712445824009,-90.37800971386096,238.0,top
U1,156.269686,-34.743442,180.0,top
U2,49.299686,-23.36344,0.0,bottom
U3,163.599686,-58.538442,180.0,top
Y1,167.409688,-48.158442,0.0,top
